,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,Pd1,Pd2,Pd3,Pd4,Pd5,Pd6,Pd7,Pd8
HC1,1,0.924010780400695,0.925278983968694,0.904794628436733,0.925376389508535,0.913958836239658,0.926574112520838,0.89501087770821,0.899147862722354,0.881214081390037,0.895154177199703,0.874934483075033,0.869623728894009,0.869746496908512,0.854991721481642,0.886046470169388
HC2,0.924010780400695,1,0.933968262774533,0.926146291762922,0.929062308428662,0.928211251074492,0.94205602867354,0.927029420301963,0.908477152484433,0.866250774735122,0.883552737131662,0.848168572410954,0.847981919850047,0.84943733102054,0.824453566089853,0.856759073546766
HC3,0.925278983968694,0.933968262774533,1,0.943777145634637,0.944797833213343,0.92714248338811,0.963356743650109,0.930439044218109,0.921442982993315,0.878234633612908,0.899018526750422,0.860627191844634,0.845466719609083,0.851815029122385,0.836860462571918,0.861821082623592
HC4,0.904794628436733,0.926146291762922,0.943777145634637,1,0.95098519946929,0.939784682099851,0.946906461388784,0.94066185981938,0.933419423473664,0.889381261400665,0.906615811387833,0.86365931675537,0.858638886485964,0.864682036585355,0.847563810117713,0.870722352373567
HC5,0.925376389508535,0.929062308428662,0.944797833213343,0.95098519946929,1,0.961077489388327,0.945562038285535,0.952284889940236,0.94094870691798,0.925334178830407,0.935760053338664,0.907418549740633,0.900359321715172,0.904471658613605,0.892951068626771,0.911408578461839
HC6,0.913958836239658,0.928211251074492,0.92714248338811,0.939784682099851,0.961077489388327,1,0.934533797402543,0.956572840930608,0.948388615789261,0.927767925570499,0.941106546359382,0.907982264353661,0.908810385733391,0.912370070594803,0.890119142943216,0.912884571443565
HC7,0.926574112520838,0.94205602867354,0.963356743650109,0.946906461388784,0.945562038285535,0.934533797402543,1,0.929280186781562,0.921390723820411,0.872198519875038,0.896069363487292,0.858216168613033,0.844134417728229,0.849280306184282,0.829019375259329,0.864087744116489
HC8,0.89501087770821,0.927029420301963,0.930439044218109,0.94066185981938,0.952284889940236,0.956572840930608,0.929280186781562,1,0.949615349763694,0.924474280130532,0.934646170838786,0.905405995623019,0.903722685525703,0.906131287324464,0.888690466146118,0.904576214967969
Pd1,0.899147862722354,0.908477152484433,0.921442982993315,0.933419423473664,0.94094870691798,0.948388615789261,0.921390723820411,0.949615349763694,1,0.929386663047406,0.947557947674492,0.917813887795317,0.914946311424494,0.916515388890065,0.897224545790242,0.919513571855875
Pd2,0.881214081390037,0.866250774735122,0.878234633612908,0.889381261400665,0.925334178830407,0.927767925570499,0.872198519875038,0.924474280130532,0.929386663047406,1,0.956676090755639,0.946402119820864,0.938859159834433,0.94839157168493,0.940409948125903,0.940755098964279
Pd3,0.895154177199703,0.883552737131662,0.899018526750422,0.906615811387833,0.935760053338664,0.941106546359382,0.896069363487292,0.934646170838786,0.947557947674492,0.956676090755639,1,0.951993767365012,0.942863327458232,0.943958896595679,0.933353404300858,0.94732530670008
Pd4,0.874934483075033,0.848168572410954,0.860627191844634,0.86365931675537,0.907418549740633,0.907982264353661,0.858216168613033,0.905405995623019,0.917813887795317,0.946402119820864,0.951993767365012,1,0.950434159590288,0.946126026944518,0.949468586672798,0.952348338584935
Pd5,0.869623728894009,0.847981919850047,0.845466719609083,0.858638886485964,0.900359321715172,0.908810385733391,0.844134417728229,0.903722685525703,0.914946311424494,0.938859159834433,0.942863327458232,0.950434159590288,1,0.954022709754328,0.953537925445449,0.948915504968968
Pd6,0.869746496908512,0.84943733102054,0.851815029122385,0.864682036585355,0.904471658613605,0.912370070594803,0.849280306184282,0.906131287324464,0.916515388890065,0.94839157168493,0.943958896595679,0.946126026944518,0.954022709754328,1,0.946878427955133,0.950038102934725
Pd7,0.854991721481642,0.824453566089853,0.836860462571918,0.847563810117713,0.892951068626771,0.890119142943216,0.829019375259329,0.888690466146118,0.897224545790242,0.940409948125903,0.933353404300858,0.949468586672798,0.953537925445449,0.946878427955133,1,0.943083766339295
Pd8,0.886046470169388,0.856759073546766,0.861821082623592,0.870722352373567,0.911408578461839,0.912884571443565,0.864087744116489,0.904576214967969,0.919513571855875,0.940755098964279,0.94732530670008,0.952348338584935,0.948915504968968,0.950038102934725,0.943083766339295,1
