MDS1,MDS2,Sample,Group
-0.171286169753275,-0.831778201207053,HC1,HC
-0.850571499380821,-0.607304100608368,HC2,HC
-0.914320836114589,0.552062257381279,HC3,HC
-0.879479474073381,-0.0725252067103252,HC4,HC
-0.521401769853831,0.0486249606407482,HC5,HC
-0.311190260266222,0.287228862389378,HC6,HC
-1.14816199889039,0.249836895136739,HC7,HC
-0.3866657426863,0.169909947742764,HC8,HC
-0.0136437775149513,-0.24889400645519,Pd1,Pd
0.400002924953215,0.261560220791089,Pd2,Pd
0.43146797472305,0.0356227980742051,Pd3,Pd
0.844507258907672,0.138044395259241,Pd4,Pd
0.963530288644617,-0.152805776206078,Pd5,Pd
0.806915642675864,-0.099639270410164,Pd6,Pd
0.760715507295762,0.132575567272607,Pd7,Pd
0.989581931333578,0.137480656909127,Pd8,Pd
