"species","color"
"Treponema vincentii","#E6194B"
"Lautropia mirabilis","#3CB44B"
"Prevotella intermedia","#FFE119"
"Segatella oris","#000075"
"Campylobacter showae","#F032E6"
"Neisseria elongata","#AAFFC3"
"Acinetobacter johnsonii","#46F0F0"
"Porphyromonas gingivalis","#0072B2"
"Prevotella denticola","#BCF60C"
"Treponema parvum","#808000"
"Haemophilus parainfluenzae","#008080"
"Alloprevotella sp. oral taxon 473","#E6BEFF"
"Treponema putidum","#9A6324"
"Treponema denticola","#D55E00"
"Campylobacter concisus","#911EB4"
"Acinetobacter lwoffii","#800000"
"Ottowia sp. oral taxon 894","#FF6B6B"
"Neisseria sp. oral taxon 020","#FFD8B1"
"Veillonella parvula","black"
"Neisseria lactamica","#FABEBE"
"Others","grey70"
